Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,N/A,N/A,N/A,USD,BTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.239,22.919,1240,2259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,United States,USD,NYQ,https://www.americanassetstrust.com,27.0,2081243776,3172277760,27.83505,37.5,N/A,1.3857524,4.599444,19.484,7.506,0.116,0.41,0.54012,0.64712,0.30786,0.12884,1.34,0.0496,1.3763001,4.45,1733356800,N/A,N/A,533004000,8.752,2109579008,N/A,185.382,1.266,1.266,1.311,28.96,18.44,226637,231006,N/A,0.41509438,0.0149300005,0.93656,4.31,26.0,24.0,25.0,3.0,2,0.02508,0.06479,12.98,0.97,0.72,452499008
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,United States,USD,NCM,https://americanbatterytechnology.com,0.85,62312060,60741056,N/A,-6.071429,N/A,0.8854167,181.40338,0.96,0.007,N/A,N/A,N/A,N/A,-35.172802,N/A,N/A,N/A,N/A,N/A,N/A,-25603900,-16736231,7001786,0.097,6501665,N/A,10.577,1.165,0.508,1.854,6.45,0.75,572404,1737762,N/A,-0.7931874,0.05763,0.07406,14.57,9.0,9.0,9.0,N/A,1,-0.30784,-0.85831,-1.695,-1.02,-0.14,343500
AAXJ,iShares MSCI All Country Asia ex Japan ETF,N/A,N/A,N/A,USD,NGM,N/A,N/A,N/A,N/A,13.842505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.25,61.3,521153,711198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,United States,USD,NYQ,https://www.alliancebernstein.com,36.57,4148317952,N/A,10.50862,10.158334,N/A,1.9771842,30.935434,18.496,1.178,1.074,1.231,N/A,1.0,1.0,2.96159,2.98,0.081499994,0.8218,8.48,1730678400,N/A,325816000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.233,38.96,27.58,252915,263760,N/A,0.28135955,0.01538,0.25047,3.56,50.0,36.0,41.71429,2.0,7,0.04117,0.19511999,N/A,3.48,3.61,134096000
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,USD,NYQ,https://www.abbvie.com,164.99,291560423424,355637493760,57.48781,13.600592,N/A,48.341637,5.2502193,3.413,31.397,0.038,-0.123,0.46153,0.70335,0.28928,0.09222999,6.56,0.0398,2.1359,4.16,1736899200,17738999808,16510999552,7285000192,4.122,71323000832,N/A,1174.815,0.645,0.436,0.613,207.32,137.14,5306367,9316308,N/A,0.19290006,0.00096000003,0.73441005,3.61,240.0,165.0,205.08,1.9,29,0.077199996,0.56407,13.876,2.87,12.13,55532998656
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,United States,USD,NYQ,https://www.amerisbank.com,69.63,4809114624,3907661568,14.566944,13.8871155,N/A,1.301471,4.593312,53.501,15.214,0.127,0.241,N/A,N/A,0.46842998,0.31542,0.6,0.0086,0.12550001,1.45,1727654400,N/A,236580992,1370807040,19.922,487294016,N/A,N/A,N/A,N/A,1.023,72.68,40.71,374428,400422,N/A,0.6136732,0.050219998,0.93219,2.07,78.0,67.0,70.4,1.8,5,0.01268,0.09397,N/A,4.78,5.03,1046982016
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,USD,NMS,https://www.abcellera.com,2.65,782720000,210980640,N/A,-3.925926,N/A,0.72543114,23.746132,3.653,0.112,-0.014,N/A,N/A,N/A,-14.39419,N/A,N/A,N/A,N/A,N/A,N/A,-105576000,-120167000,643139008,2.177,71399000,N/A,6.623,9.336,8.878,0.351,6.055,2.335,2191473,3250140,N/A,-0.42391306,0.27987,0.38182,9.57,28.0,5.0,12.28571,1.44444,7,-0.13256,-0.15551,-0.949,-0.61,-0.66,32962000
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,United States,USD,NCM,https://www.abeonatherapeutics.com,5.86,253822384,158177664,N/A,-5.208889,N/A,10.483006,Infinity,0.559,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-20499376,-42203000,122708000,2.833,23165000,N/A,31.628,7.475,7.383,1.505,9.01,3.05,256201,384240,N/A,0.38862562,0.05104,0.77542996,10.79,21.0,7.5,16.41667,1.2,6,-0.37814,-1.2738,-2.889,-1.77,-1.48,N/A
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,N/A,N/A,N/A,USD,NGM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.13,24.37,1981,1220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
