Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
CRMD,CorMedix Inc.,Healthcare,Biotechnology,United States,USD,NGM,https://www.cormedix.com,10.2,618907456,581322432,N/A,22.666666,N/A,10.059171,50.472652,1.014,0.212,N/A,N/A,N/A,0.83568,-0.28695,N/A,N/A,N/A,N/A,N/A,N/A,-39781652,-55745812,46029700,0.759,556416,N/A,0.948,3.958,3.431,1.582,13.85,2.89,1200629,524032,N/A,1.7473404,0.00975,0.31645,4.53,19.0,10.0,14.25,N/A,4,-0.3769,-0.65037,-11.451,-0.8,0.48,12262234
CRML,Critical Metals Corp.,Basic Materials,Other Industrial Metals & Mining,United States,USD,NGM,https://criticalmetalscorp.com,5.875,532934176,477668672,N/A,N/A,N/A,N/A,4529.4424,-0.236,0.004,0.058,N/A,N/A,1.0,-25.422562,N/A,N/A,N/A,N/A,N/A,N/A,50416828,-15122354,1259242,0.016,4302495,N/A,N/A,0.059,0.033,0.116,22.5,5.324,12879,3489,N/A,-0.464351,0.74728996,0.10807,26.22,N/A,N/A,N/A,N/A,N/A,-0.04275,-23.46738,-148.365,-557.0,N/A,117660
CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,USD,NMS,https://www.car-mart.com,44.385,365511808,1124290304,N/A,17.422964,N/A,0.60273767,0.26680395,73.639,214.315,-0.052,N/A,0.022060001,0.14963001,0.04956,-0.026670001,N/A,N/A,N/A,N/A,N/A,-25490124,-43471000,4748000,0.742,853030016,N/A,180.898,18.209,15.025,1.672,83.07,37.98,126785,66539,N/A,-0.45147735,0.10588,0.88275003,8.88,50.0,45.0,46.75,2.8,4,0.00954,-0.074829996,37.195,-5.72,3.01,1369964032
CRNC,Cerence Inc.,Technology,Software - Application,United States,USD,NMS,https://www.cerence.com,7.3,306045216,290091584,N/A,24.198627,N/A,1.9788562,0.85615915,3.689,8.663,0.144,N/A,0.18711,0.74783,0.0519,-1.62035,N/A,N/A,N/A,N/A,N/A,14807125,22339000,120963000,2.894,293167008,N/A,190.121,1.307,1.057,2.357,21.665,2.34,2649943,14670680,N/A,-0.66281086,0.057439998,0.83405995,3.71,10.0,2.75,6.125,2.75,6,0.03773,-1.3517,4.337,-14.12,-0.05,357463008
CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel,USD,NMS,https://www.ceragon.com,3.625,311280544,260594752,17.261906,8.73494,N/A,2.3103888,0.8594043,1.569,4.249,0.115,2.444,0.110089995,0.35026002,0.11732,0.02871,N/A,N/A,N/A,N/A,N/A,26015250,35546000,26303000,0.306,44743000,N/A,31.18,1.699,1.231,1.356,3.6691,1.75,453089,1890439,N/A,0.7845304,0.20407,0.1723,0.29,4.5,4.5,4.5,2.0,2,0.06142,0.07707,6.535,0.21,0.41,362204992
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,NMS,https://www.crinetics.com,56.04,5197015040,4478697984,N/A,-14.312531,N/A,5.438665,5001.9395,10.304,0.014,N/A,N/A,N/A,N/A,-295.25217,N/A,N/A,N/A,N/A,N/A,N/A,-115199376,-199811008,862668032,9.302,52539000,N/A,6.307,16.385,16.235,0.619,62.53,30.5,710312,532218,N/A,0.78274465,0.01798,0.94667,8.47,97.0,54.0,73.28571,1.5,14,-0.24285999,-0.40256,-14.708,-3.7,-3.86,1039000
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,USD,NGM,https://www.thecronosgroup.com,2.095,800908032,-20168826,N/A,-7.5089602,N/A,0.72642165,7.8693986,2.884,0.267,0.46,N/A,-0.60437,0.16372,-0.54081,-0.5643,N/A,N/A,N/A,N/A,N/A,-30522250,16172000,848188992,2.219,1993000,N/A,0.189,28.293,26.523,1.013,3.14,1.85,1009265,542336,N/A,N/A,0.46403998,0.15616,5.07,3.912,2.794,3.181,2.66667,3,-0.0373,-0.05289,0.328,-0.12,-0.04,101775000
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,United States,USD,NMS,https://www.crocs.com,106.5161,6207992320,7521591296,7.7409954,8.281901,N/A,3.61096,1.5243943,29.498,67.746,0.016,0.171,0.27771,0.58147997,0.25403,0.20497999,N/A,N/A,N/A,N/A,N/A,711241856,1020267008,186122000,3.193,1774007040,N/A,102.834,1.43,0.826,2.017,165.32,85.71,1310631,1183463,N/A,0.07632947,0.02908,0.94868,2.91,180.0,100.0,135.50858,1.86667,14,0.14327,0.57069,6.651,13.76,13.15,4072432128
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,United States,USD,NYQ,https://www.carpentertechnology.com,190.155,9478256640,9559964672,42.445312,24.35917,N/A,5.7084746,3.35466,33.311,56.593,0.101,0.898,0.17927,0.22528,0.15788999,0.08048,0.8,0.0044,0.17819999,2.08,1729555200,116300000,307700000,150200000,3.013,702700032,N/A,42.324,3.841,1.771,1.466,192.34,58.87,557662,552212,N/A,1.6357934,0.02191,0.95262,3.76,220.0,112.0,184.5,2.0,6,0.0765,0.1472,18.875,4.48,7.83,2825400064
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,USD,NGM,https://www.crisprtx.com,47.3969,4045491456,2242912512,N/A,-9.460932,N/A,2.0852134,19.945332,22.73,2.446,N/A,N/A,-1.54356,-1.28711,-182.9402,-1.18126,N/A,N/A,N/A,N/A,N/A,-118566872,-188816000,1935645056,22.678,227544992,N/A,11.731,21.644,21.553,1.662,91.1,43.42,1277810,904584,N/A,-0.33843076,0.01708,0.72218,17.48,199.0,30.0,81.54167,2.27586,24,-0.09567001,-0.13066,-7.164,-2.79,-5.04,202828992
