Symbol,Name,Sector,Industry,Country,Currency,Exchange,Website,Current Price,Market Cap,Enterprise Value,PE Ratio,Forward PE,PEG Ratio,Price to Book,Price to Sales,Book Value per Share,Revenue per Share,Revenue Growth (YoY),Earnings Growth (YoY),EBITDA Margins,Gross Margins,Operating Margins,Profit Margins,Dividend Rate,Dividend Yield,Payout Ratio,Five-Year Avg. Dividend Yield,Ex-Dividend Date,Free Cash Flow,Operating Cash Flow,Total Cash,Cash per Share,Total Debt,Net Debt,Debt to Equity,Current Ratio,Quick Ratio,Beta,52-Week High,52-Week Low,Average Volume,Regular Market Volume,Current Price Change (%),1-Year Return,Insider Ownership,Institutional Ownership,Short Ratio,Target High Price,Target Low Price,Target Mean Price,Recommendation Mean,Number of Analyst Opinions,Return on Assets,Return on Equity,Enterprise to EBITDA,Trailing EPS,Forward EPS,Total Revenue
DSP,Viant Technology Inc.,Technology,Software - Application,United States,USD,NMS,https://www.viantinc.com,19.02,1195441280,322269760,237.75002,33.964287,N/A,5.1938834,4.5352817,3.662,16.388,0.341,N/A,0.05618,0.46030998,0.05052,0.00471,N/A,N/A,N/A,N/A,N/A,28495624,58525000,214632000,13.374,26865000,N/A,9.691,2.768,2.69,0.716,19.07,5.58,112266,437090,N/A,2.1154833,0.07509,0.53865004,7.19,22.0,17.0,18.5,1.5,6,-0.00239,0.029460002,21.763,0.08,0.16,263587008
DSWL,"Deswell Industries, Inc.",Technology,Electronic Components,Macau,USD,NGM,https://www.deswell.com,2.6234,41804404,-16639731,4.0360003,N/A,N/A,0.4438917,0.6026468,5.91,4.353,-0.038,0.592,0.07777,0.20041999,0.04962,0.11113,0.2,0.077199996,0.41669998,6.52,1720137600,8581000,13208000,57912000,3.634,N/A,N/A,N/A,5.067,4.266,0.466,2.88,2.14,8287,12311,N/A,-0.033210337,0.71211,0.02678,0.3,N/A,N/A,N/A,N/A,N/A,0.021860002,0.08387999,-3.084,0.65,N/A,69368000
DSY,Big Tree Cloud Holdings Limited,Consumer Defensive,Household & Personal Products,China,USD,NGM,https://ir.bigtreeclouds.com/Overview,2.3,131285144,132019424,230.0,N/A,N/A,N/A,16.442995,-27.743,159.685,0.685,1.225,0.23618001,0.57667,0.11002,0.075100005,N/A,N/A,N/A,N/A,N/A,N/A,3601784,1298932,0.023,2033103,N/A,N/A,0.444,0.248,N/A,13.47,0.753,190588,26119,N/A,-0.78281397,0.87596,0.00118,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.01,0.01,N/A,7984260
DSYWW,Big Tree Cloud Holdings Limited,Consumer Defensive,Household & Personal Products,China,USD,NCM,https://ir.bigtreeclouds.com/Overview,0.0362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-27.743,159.685,0.685,1.225,0.23618001,0.57667,0.11002,0.075100005,N/A,N/A,N/A,N/A,N/A,N/A,3601784,1298932,0.023,2033103,N/A,N/A,0.444,0.248,N/A,0.0441,0.0303,N/A,6534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7984260
DTCK,Davis Commodities Limited,Consumer Defensive,Farm Products,Singapore,USD,NCM,https://maxwillgroup.com,0.9653,23650430,22020582,48.265003,N/A,N/A,2.0408034,0.14796685,0.473,6.361,-0.316,-0.375,0.00103,0.03571,0.016929999,0.0029300002,N/A,N/A,N/A,N/A,N/A,1598750,1984000,1363000,0.056,598000,N/A,5.159,1.307,0.92,N/A,1.75,0.756,34422,14252,N/A,-0.09444988,0.98726,0.00468,0.61,N/A,N/A,N/A,N/A,N/A,0.00171,0.04795,134.272,0.02,N/A,159836000
DTI,Drilling Tools International Corporation,Energy,Oil & Gas Equipment & Services,United States,USD,NCM,https://www.drillingtools.com,3.46,120078264,168208416,14.416667,8.371036,N/A,0.9288591,0.80164945,3.725,4.889,0.051,-0.815,0.25832,0.75688004,0.106029995,0.054619998,N/A,N/A,N/A,N/A,N/A,-7472375,15573000,11961000,0.362,68055000,N/A,55.244,1.322,0.868,N/A,6.36,2.43,45379,101100,N/A,-0.0686813,0.62016,0.08071999,7.19,8.0,4.5,6.0,2.0,3,0.05761,0.07865,4.347,0.24,0.47,149788992
DTIL,"Precision BioSciences, Inc.",Healthcare,Biotechnology,United States,USD,NCM,https://www.precisionbiosciences.com,6.5,49861888,-15816796,16.25,-0.7540603,N/A,0.7496252,0.6639753,8.671,12.872,-0.956,N/A,-0.15949,1.0,-36.93576,0.114829995,N/A,N/A,N/A,N/A,N/A,4094625,-48185000,101202000,13.193,30307000,N/A,46.722,9.224,8.575,1.693,19.43,6.415,71087,224674,N/A,-0.42190015,0.065409996,0.44696,2.57,60.0,19.0,35.75,1.6,4,-0.063779995,0.24440001,1.321,0.4,-6.78,75096000
DTSS,Datasea Inc.,Technology,Software - Infrastructure,China,USD,NCM,https://www.dataseainc.com,2.462,17448194,13393752,N/A,49.239998,N/A,N/A,0.7277398,-0.066,9.232,0.274,N/A,-0.48511,0.01977,-1.23094,-0.47452,N/A,N/A,N/A,N/A,N/A,-3664546,-6398883,181262,0.035,1378175,N/A,N/A,0.736,0.25,0.622,20.29,1.42,1034073,29247,N/A,-0.111111104,0.36386,0.00044,0.32,N/A,N/A,N/A,N/A,N/A,-2.50684,N/A,-1.152,-4.75,0.05,23975868
DTST,Data Storage Corporation,Technology,Information Technology Services,United States,USD,NCM,https://www.dtst.com,3.92,27496330,15800687,196.00002,28.0,N/A,1.3489333,1.08588,2.906,3.682,-0.168,N/A,0.037019998,0.40605998,-0.079169996,0.00857,N/A,N/A,N/A,N/A,N/A,1684531,3148024,11993992,1.714,901401,N/A,4.44,4.236,4.016,0.719,8.0,2.75,51280,57034,N/A,0.21118009,0.41483003,0.121470004,11.07,9.0,9.0,9.0,2.0,1,-0.01085,0.007929999,16.857,0.02,0.25,25321700
DTSTW,Data Storage Corporation,Technology,Information Technology Services,United States,USD,NCM,https://www.dtst.com,0.46,N/A,N/A,N/A,N/A,N/A,0.15829319,N/A,2.906,3.682,-0.168,N/A,0.037019998,0.40605998,-0.079169996,0.00857,N/A,N/A,N/A,N/A,N/A,1684531,3148024,11993992,1.714,901401,N/A,4.44,4.236,4.016,0.719,0.475,0.35,N/A,14151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.01085,0.007929999,N/A,N/A,N/A,25321700
